rollout/success_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/episodes,time/fps,train/learning_rate
0.0,16,-0.024760786443948746,0.9926612675189972,51200,-1.799350917339325,30,0.39991565644741056,256,3122,0.0003
0.01,31,-0.055213487893342975,0.9837252855300903,102400,-2.381298565864563,60,0.33795092850923536,512,3271,0.0003
0.0,45,-0.0855887196958065,0.9748833537101745,153600,-2.468707251548767,90,0.22292611859738826,768,3339,0.0003
0.0,62,-0.11612066403031349,0.9661300420761109,204800,-2.519883131980896,120,0.18017964139580728,1024,3265,0.0003
0.0,78,-0.14623400717973709,0.9574509143829346,256000,-2.603926944732666,150,0.23310515638440849,1280,3248,0.0003
0.0,94,-0.1769123286008835,0.9488601148128509,307200,-2.662767481803894,180,0.1718261230736971,1536,3248,0.0003
0.0,110,-0.20709597319364548,0.9403479397296906,358400,-2.725482869148254,210,0.04829371832311154,1792,3241,0.0003
0.0,125,-0.23757401257753372,0.9319134473800659,409600,-2.8092136859893797,240,0.14757367335259913,2048,3260,0.0003
0.0,140,-0.27756865322589874,0.9207852125167847,460800,-2.88208589553833,280,0.07003858964890242,2304,3277,0.0003
0.0,155,-0.3083895117044449,0.9125296890735626,512000,-2.971567392349243,310,0.10797642711549997,2560,3288,0.0003
0.01,170,-0.3385203301906586,0.9043476998805999,563200,-3.0495237827301027,340,0.14499810840934516,2816,3302,0.0003
0.0,188,-0.3687586009502411,0.8962397336959839,614400,-3.1158119201660157,370,0.043326502479612825,3072,3263,0.0003
0.01,205,-0.3985411524772644,0.8882045865058898,665600,-3.2101932764053345,400,0.1226110141724348,3328,3232,0.0003
0.0,221,-0.4296725243330002,0.8802403330802917,716800,-3.2842276811599733,430,0.024010474793612957,3584,3234,0.0003
0.0,236,-0.45931313931941986,0.8723525643348694,768000,-3.3558542728424072,460,0.022165692504495384,3840,3249,0.0003
0.0,251,-0.48986676037311555,0.8645381152629852,819200,-3.4542791128158568,490,0.06160515528172254,4096,3263,0.0003
0.0,265,-0.5300870597362518,0.8542197227478028,870400,-3.5874375820159914,530,0.2500105630606413,4352,3273,0.0003
0.0,280,-0.5607315003871918,0.8465629160404206,921600,-3.6622657775878906,560,0.07808827850967645,4608,3279,0.0003
0.0,297,-0.5914630174636841,0.8389724493026733,972800,-3.743996095657349,590,0.018884291127324104,4864,3265,0.0003
0.0,313,-0.621330976486206,0.8314543128013611,1024000,-3.849795937538147,620,0.19399480912834405,5120,3264,0.0003
0.0,329,-0.6521905362606049,0.8240016281604767,1075200,-3.9270514488220214,650,0.03967522094026208,5376,3259,0.0003
0.01,345,-0.6824663937091827,0.8166147708892822,1126400,-4.0114576578140255,680,0.05733797503635287,5632,3256,0.0003
0.0,362,-0.7122072637081146,0.8092929661273957,1177600,-4.101052474975586,710,0.03709831377491355,5888,3252,0.0003
0.0,378,-0.7434985935688019,0.8020410776138306,1228800,-4.203125858306885,740,0.11572511233389378,6144,3250,0.0003
0.0,394,-0.7824445962905884,0.7924711585044861,1280000,-4.302436256408692,780,0.035940082650631665,6400,3247,0.0003
0.0,410,-0.8135403454303741,0.7853728234767914,1331200,-4.3887317180633545,810,0.03905832776799798,6656,3243,0.0003
0.0,426,-0.8442254960536957,0.7783361375331879,1382400,-4.469490957260132,840,0.017735527362674475,6912,3240,0.0003
0.0,442,-0.8741731643676758,0.7713607132434845,1433600,-4.562688589096069,870,0.035488191060721874,7168,3237,0.0003
0.0,459,-0.9047013223171234,0.7644513666629791,1484800,-4.646969270706177,900,0.0544653139077127,7424,3232,0.0003
0.0,475,-0.934483802318573,0.7576026737689971,1536000,-4.720307016372681,930,0.11922799311578273,7680,3229,0.0003
0.0,492,-0.96516734957695,0.7508116960525513,1587200,-4.807028102874756,960,0.1155706481076777,7936,3224,0.0003
0.01,507,-0.9960871756076812,0.7440816104412079,1638400,-4.898946094512939,990,0.09421205576509237,8192,3226,0.0003
0.0,525,-1.0350517272949218,0.7352035880088806,1689600,-4.994189739227295,1030,0.09571541910991073,8448,3215,0.0003
0.0,542,-1.065231728553772,0.7286170363426209,1740800,-5.09861946105957,1060,0.1339024499990046,8704,3208,0.0003
0.0,559,-1.0955249190330505,0.7220883429050445,1792000,-5.171162176132202,1090,0.11320533649995923,8960,3200,0.0003
0.0,578,-1.1274674773216247,0.715619295835495,1843200,-5.257362365722656,1120,0.056226277351379396,9216,3187,0.0003
0.0,596,-1.1560931563377381,0.7092093288898468,1894400,-5.313776540756225,1150,0.09748456319794059,9472,3176,0.0003
0.0,615,-1.1866003632545472,0.7028561890125274,1945600,-5.387195682525634,1180,0.11026043742895127,9728,3161,0.0003
0.0,633,-1.2160872101783753,0.6965581119060517,1996800,-5.473367309570312,1210,0.09493004912510514,9984,3152,0.0003
0.0,650,-1.248774027824402,0.6903154611587524,2048000,-5.5450948715209964,1240,0.053959620743989946,10240,3146,0.0003
0.0,669,-1.2877534985542298,0.6820796310901642,2099200,-5.631230974197388,1280,0.05433894470334053,10496,3136,0.0003
0.0,686,-1.3173139572143555,0.6759677529335022,2150400,-5.710930061340332,1310,0.032130359951406715,10752,3130,0.0003
0.0,704,-1.3474910378456115,0.669911551475525,2201600,-5.782955455780029,1340,0.11065606065094472,11008,3124,0.0003
0.0,721,-1.3790448546409606,0.6639086365699768,2252800,-5.843610954284668,1370,0.07189032137393951,11264,3120,0.0003
0.01,739,-1.4092942476272583,0.6579599857330323,2304000,-5.912927961349487,1400,0.07259480385109782,11520,3115,0.0003
0.01,757,-1.4380232691764832,0.6520637333393097,2355200,-5.96656641960144,1430,0.052430722396820784,11776,3110,0.0003
