rollout/success_rate,train/n_updates,time/episodes,train/ent_coef_loss,train/learning_rate,train/actor_loss,time/time_elapsed,train/ent_coef,train/critic_loss,time/fps,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.0,30,256,-0.024760660715401173,0.0003,-1.7993194341659546,16,0.9926612794399261,0.39989505112171175,3064,51200,,,
0.01,60,512,-0.05521366707980633,0.0003,-2.380861783027649,31,0.9837252736091614,0.3378943234682083,3220,102400,,,
0.0,90,768,-0.0855886995792389,0.0003,-2.46986186504364,46,0.9748833239078522,0.2229051448404789,3294,153600,,,
0.0,120,1024,-0.11611839458346367,0.0003,-2.5216691732406615,61,0.9661300420761109,0.18022603839635848,3318,204800,,,
0.0,150,1280,-0.14623635709285737,0.0003,-2.601036715507507,76,0.9574509799480438,0.21306142602115868,3341,256000,,,
0.0,180,1536,-0.1769124299287796,0.0003,-2.6642905473709106,91,0.9488601148128509,0.1717906404286623,3358,307200,,,
0.0,210,1792,-0.2070952132344246,0.0003,-2.724352717399597,106,0.9403479635715485,0.027324956841766834,3357,358400,,,
0.0,240,2048,-0.2375729575753212,0.0003,-2.809354305267334,121,0.9319134712219238,0.1476304454728961,3358,409600,,,
0.0,280,2304,-0.277569580078125,0.0003,-2.8823100566864013,137,0.9207851886749268,0.06999735310673713,3359,460800,,,
0.0,310,2560,-0.30839270949363706,0.0003,-2.9727314949035644,152,0.9125296533107757,0.10802550762891769,3359,512000,,,
0.01,340,2816,-0.33852164447307587,0.0003,-3.048563241958618,167,0.9043476700782775,0.1451493201777339,3365,563200,,,
0.0,370,3072,-0.36875624358654024,0.0003,-3.11430938243866,182,0.8962396860122681,0.04316176250576973,3369,614400,,,
0.0,400,3328,-0.39854525923728945,0.0003,-3.207293224334717,197,0.8882045567035675,0.12260110471397638,3370,665600,,,
0.0,430,3584,-0.42966253459453585,0.0003,-3.28212456703186,212,0.8802403211593628,0.024462346732616425,3366,716800,,,
0.0,460,3840,-0.4593232721090317,0.0003,-3.353253197669983,227,0.8723526179790497,0.02230981634929776,3370,768000,,,
0.0,490,4096,-0.48986254930496215,0.0003,-3.4512826681137083,242,0.864538061618805,0.06176903564482927,3373,819200,,,
0.0,530,4352,-0.5300948262214661,0.0003,-3.5816448450088503,257,0.854219663143158,0.18597753839567305,3374,870400,,,
0.0,560,4608,-0.5607383012771606,0.0003,-3.6553539276123046,273,0.8465627729892731,0.057426870614290235,3374,921600,,,
0.0,590,4864,-0.5914313971996308,0.0003,-3.740254545211792,288,0.8389721870422363,0.01882324032485485,3373,972800,,,
,610,,-0.6110155880451202,0.0003,-3.787330889701843,,0.833952260017395,0.018484714068472387,,999936,0.0,200.0,-46.70084318578243
0.0,620,5120,-0.6213428497314453,0.0003,-3.843723726272583,756,0.8314540386199951,0.1543302873149514,1354,1024000,,,
0.0,650,5376,-0.6521807014942169,0.0003,-3.9204175233840943,771,0.8240013659000397,0.020435691624879838,1394,1075200,,,
0.0,680,5632,-0.6824623465538024,0.0003,-4.001002049446106,787,0.8166145086288452,0.037025805283337834,1430,1126400,,,
0.0,710,5888,-0.7121776223182679,0.0003,-4.095196104049682,804,0.8092927217483521,0.03698740173131228,1463,1177600,,,
0.0,740,6144,-0.7434886574745179,0.0003,-4.192752456665039,820,0.8020409226417542,0.09639308722689748,1498,1228800,,,
0.0,780,6400,-0.7824384570121765,0.0003,-4.292298793792725,836,0.7924710750579834,0.03590095238760114,1530,1280000,,,
0.0,810,6656,-0.8135350108146667,0.0003,-4.379140996932984,852,0.7853727102279663,0.018427957966923713,1561,1331200,,,
0.0,840,6912,-0.8442289710044861,0.0003,-4.465342378616333,868,0.7783360242843628,0.01695397300645709,1591,1382400,,,
0.0,870,7168,-0.8741493344306945,0.0003,-4.551951599121094,884,0.7713606297969818,0.01647963244467974,1620,1433600,,,
0.0,900,7424,-0.9047296404838562,0.0003,-4.637365484237671,900,0.7644513428211213,0.05444531487300992,1648,1484800,,,
0.0,930,7680,-0.9345011711120605,0.0003,-4.720611667633056,916,0.7576026201248169,0.11729848105460405,1675,1536000,,,
0.0,960,7936,-0.9651545941829681,0.0003,-4.7961560726165775,932,0.7508115589618682,0.09635422304272652,1702,1587200,,,
0.01,990,8192,-0.9961005866527557,0.0003,-4.888669538497925,947,0.7440815031528473,0.0949780385941267,1730,1638400,,,
0.0,1030,8448,-1.0350685238838195,0.0003,-4.985235738754272,962,0.7352034687995911,0.09597814828157425,1756,1689600,,,
0.0,1060,8704,-1.0651809692382812,0.0003,-5.086424016952515,977,0.7286169528961182,0.13340879706665873,1781,1740800,,,
