train/learning_rate,train/actor_loss,train/critic_loss,time/time_elapsed,train/ent_coef,train/ent_coef_loss,time/total_timesteps,rollout/success_rate,time/fps,time/episodes,train/n_updates,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0003,-1.799284863471985,0.4000024378299713,19,0.9926612794399261,-0.024760476127266885,51200,0.0,2626,256,30,,,
0.0003,-2.3809176683425903,0.33764905519783495,36,0.9837252795696259,-0.055213316529989245,102400,0.01,2785,512,60,,,
0.0003,-2.469422197341919,0.2227243550121784,53,0.9748833239078522,-0.08558795899152756,153600,0.0,2862,768,90,,,
0.0003,-2.52126030921936,0.18021413460373878,70,0.9661300241947174,-0.1161208100616932,204800,0.0,2891,1024,120,,,
0.0003,-2.60115442276001,0.21288577541708947,88,0.9574509918689728,-0.14623595923185348,256000,0.0,2905,1280,150,,,
0.0003,-2.664370322227478,0.17169434893876315,105,0.948860102891922,-0.1769117832183838,307200,0.0,2925,1536,180,,,
0.0003,-2.723645329475403,0.027287971787154676,122,0.9403479158878326,-0.20709554404020308,358400,0.0,2927,1792,210,,,
0.0003,-2.8078946828842164,0.14736882448196412,139,0.9319134175777435,-0.23757462054491044,409600,0.0,2934,2048,240,,,
0.0003,-2.881145739555359,0.06978393495082855,156,0.9207850694656372,-0.2775729775428772,460800,0.0,2935,2304,280,,,
0.0003,-2.9718435525894167,0.10802782271057368,174,0.9125295162200928,-0.30839294493198394,512000,0.0,2935,2560,310,,,
0.0003,-3.048550033569336,0.1449463849887252,191,0.9043475687503815,-0.3385194331407547,563200,0.01,2939,2816,340,,,
0.0003,-3.11496958732605,0.0433209765702486,208,0.8962396264076233,-0.36875697076320646,614400,0.0,2942,3072,370,,,
0.0003,-3.208690643310547,0.12263732105493545,225,0.8882044553756714,-0.39854427576065066,665600,0.0,2945,3328,400,,,
0.0003,-3.283875608444214,0.02438903320580721,243,0.8802402079105377,-0.42966788113117216,716800,0.0,2941,3584,430,,,
0.0003,-3.355152797698975,0.022309250291436912,260,0.8723524630069732,-0.45932118892669677,768000,0.0,2945,3840,460,,,
0.0003,-3.4472179889678953,0.02184137813746929,277,0.8645379185676575,-0.48986341059207916,819200,0.0,2949,4096,490,,,
0.0003,-3.570346212387085,0.0699676675722003,295,0.8542194724082947,-0.530090582370758,870400,0.0,2949,4352,530,,,
0.0003,-3.651003623008728,0.03735415209084749,312,0.8465624153614044,-0.5607303380966187,921600,0.0,2951,4608,560,,,
0.0003,-3.739494252204895,0.019047368690371512,329,0.8389716565608978,-0.5914393305778504,972800,0.0,2951,4864,590,,,
0.0003,-3.8445886850357054,0.11586494073271751,346,0.8314535856246948,-0.6213402926921845,1024000,0.0,2959,5120,620,,,
0.0003,-3.9205185651779173,0.020630209520459176,362,0.8240009427070618,-0.6521838128566741,1075200,0.0,2968,5376,650,,,
0.0003,-4.000943899154663,0.01798700513318181,379,0.8166139841079711,-0.6824620187282562,1126400,0.0,2969,5632,680,,,
0.0003,-4.094708585739136,0.018207601457834243,396,0.8092922568321228,-0.7121429800987243,1177600,0.0,2970,5888,710,,,
