time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef,rollout/success_rate,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
19,0.3999128594994545,2643,51200,-0.02476064469665289,0.9926612794399261,0.0,256,0.0003,-1.7993227958679199,30,,,
38,0.33793925531208513,2671,102400,-0.05521335899829864,0.9837252855300903,0.01,512,0.0003,-2.381269359588623,60,,,
56,0.22292967960238458,2695,153600,-0.08558844104409218,0.9748833358287812,0.0,768,0.0003,-2.4686582565307615,90,,,
74,0.1802195992320776,2738,204800,-0.11612033024430275,0.9661300361156464,0.0,1024,0.0003,-2.520263671875,120,,,
91,0.23311899304389955,2784,256000,-0.14623691737651826,0.9574509620666504,0.0,1280,0.0003,-2.603725790977478,150,,,
109,0.17189090009778737,2794,307200,-0.17691320180892944,0.9488600194454193,0.0,1536,0.0003,-2.6636906623840333,180,,,
128,0.027355477027595044,2778,358400,-0.20709325522184371,0.9403478562831878,0.0,1792,0.0003,-2.7243831872940065,210,,,
145,0.1283006625249982,2806,409600,-0.23757181018590928,0.931913435459137,0.0,2048,0.0003,-2.806061577796936,240,,,
163,0.06997513826936483,2822,460800,-0.27756986320018767,0.9207852184772491,0.0,2304,0.0003,-2.8819986820220946,280,,,
179,0.10805680435150862,2846,512000,-0.3083911746740341,0.9125297129154205,0.0,2560,0.0003,-2.972588562965393,310,,,
196,0.14509235341101884,2867,563200,-0.3385209232568741,0.9043477356433869,0.01,2816,0.0003,-3.0491273164749146,340,,,
214,0.04324343893676996,2868,614400,-0.36875941157341,0.8962397515773773,0.0,3072,0.0003,-3.1158535957336424,370,,,
232,0.12258814945816994,2868,665600,-0.3985476553440094,0.8882045984268189,0.0,3328,0.0003,-3.209306073188782,400,,,
250,0.024371958523988723,2864,716800,-0.4296667218208313,0.8802403211593628,0.0,3584,0.0003,-3.284176158905029,430,,,
267,0.022254885267466308,2873,768000,-0.4593235433101654,0.8723525702953339,0.0,3840,0.0003,-3.355809545516968,460,,,
285,0.02183794416487217,2872,819200,-0.48986345529556274,0.864538025856018,0.0,4096,0.0003,-3.449429154396057,490,,,
302,0.06989984586834908,2875,870400,-0.5300897598266602,0.8542195320129394,0.0,4352,0.0003,-3.5718847513198853,530,,,
