time/total_timesteps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/success_rate,time/time_elapsed,train/ent_coef,time/fps,eval/mean_ep_length,eval/mean_reward,eval/success_rate
51200,256,640,-3.9191726334393024,0.35383991061826237,0.0003,-0.614112245850265,0.0,30,0.8332379590719938,1653,,,
102400,512,1408,-6.031464174389839,0.18322213791543618,0.0003,-1.3907217048108578,0.0,63,0.6617310252040625,1611,,,
153600,768,2240,-7.50228974968195,0.11252885944850277,0.0003,-2.2298582047224045,0.0,98,0.5155537892132998,1557,,,
204800,1024,3008,-8.284978836774826,0.054544365440960974,0.0003,-3.0074386335909367,0.0,135,0.40948086651042104,1511,,,
256000,1280,3840,-8.672777742147446,0.08742468297714368,0.0003,-3.8375391103327274,0.0,162,0.31905636843293905,1577,,,
307200,1536,4608,-8.626087635755539,0.08808653378218878,0.0003,-4.6085687428712845,0.01,198,0.25345452781766653,1549,,,
358400,1792,5440,-8.354433991014957,0.19025113998213783,0.0003,-5.427883505821228,0.0,234,0.197543271118775,1525,,,
409600,2048,6208,-7.82703410089016,0.2498644007719122,0.0003,-6.1957598105072975,0.01,270,0.15698286634869874,1516,,,
460800,2304,7040,-7.00015576928854,0.16165762295713648,0.0003,-6.9992042407393456,0.0,306,0.12237297045066953,1503,,,
512000,2560,7808,-6.325791418552399,0.2914927679230459,0.0003,-7.756000332534313,0.01,341,0.09727919555734843,1497,,,
563200,2816,8640,-5.3905763402581215,1.0659558317274787,0.0003,-8.53215329349041,0.0,374,0.0758906799601391,1503,,,
614400,3072,9408,-4.423943001776934,0.8957281815237366,0.0003,-9.232829108834267,0.0,410,0.060395713546313345,1496,,,
665600,3328,10240,-3.5570800825953484,1.3107040418544784,0.0003,-10.004854440689087,0.0,446,0.047240191779565066,1489,,,
716800,3584,11008,-2.8550388738512993,1.05229314614553,0.0003,-10.221862092614174,0.03,484,0.03772757144179195,1480,,,
768000,3840,11840,-1.8606840108986944,3.001211743685417,0.0003,-9.252382591366768,0.01,520,0.029825228586560115,1475,,,
819200,4096,12608,-0.9532665687147528,2.112807866826188,0.0003,-8.597239501774311,0.01,554,0.024070350773399696,1476,,,
870400,4352,13440,-0.4231297487858683,4.2979214660590515,0.0003,-10.258798629045486,0.0,590,0.019073747796937823,1474,,,
921600,4608,14208,-0.2509532072581351,5.292912093224004,0.0003,-10.110839664936066,0.01,625,0.015717201356892474,1473,,,
