time/time_elapsed,rollout/success_rate,train/actor_loss,time/total_timesteps,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,time/episodes,time/fps,eval/success_rate,eval/mean_reward,eval/mean_ep_length
21,0.0,-3.977517381310463,12800,688,0.01745868957368657,0.8154095262289047,-0.6871878802776337,0.0003,64,583,,,
68,0.0,-8.385717391967773,25600,3888,0.0054346526303561404,0.3122644033282995,-3.909263163805008,0.0003,128,374,,,
116,0.0,-6.844771474599838,38400,7088,0.008788919658400118,0.11984632490202785,-7.02604666352272,0.0003,192,329,,,
165,0.0,-3.1752170771360397,51200,10288,0.012481235549785197,0.04630677914246917,-9.742495357990265,0.0003,256,309,,,
214,0.0,0.7519273050129414,64000,13488,0.026465303933946416,0.018030130537226796,-12.292285025119781,0.0003,320,298,,,
261,0.0,4.233384221792221,76800,16688,0.03303720320400316,0.007217309466795996,-12.427225887775421,0.0003,384,293,,,
308,0.0,7.173682600259781,89600,19888,0.11907655431423336,0.0031077050225576386,-7.741237491369247,0.0003,448,290,,,
355,0.0,9.732658803462982,102400,23088,0.08593436994124204,0.0015605845328536816,-3.719315156340599,0.0003,512,288,,,
402,0.02,11.409513652324677,115200,26288,0.3333258214406669,0.0016692113640601747,4.689564809203148,0.0003,576,285,,,
450,0.0,11.505596160888672,128000,29488,1.7234400901943445,0.002844806687789969,0.5842545512132347,0.0003,640,284,,,
498,0.01,9.60004872083664,140800,32688,11.578678168356419,0.0048041085829027,1.680462734773755,0.0003,704,282,,,
546,0.05,1.5977820418775082,153600,35888,11.664128601551056,0.007613934052642435,-0.6178189553320408,0.0003,768,281,,,
594,0.05,-1.3145077414810658,166400,39088,37.29115664958954,0.008802945842035115,-0.5373481083661318,0.0003,832,279,,,
642,0.09,-8.475738003849983,179200,42288,38.698629915714264,0.009257260768208653,0.04274194501340389,0.0003,896,278,,,
691,0.05,-11.72756290435791,192000,45488,89.60975769162178,0.011268824629951268,-0.40553069300949574,0.0003,960,277,,,
739,0.03,-18.63814789056778,204800,48688,43.59346956014633,0.011512992554344237,-0.05746861454099417,0.0003,1024,277,,,
787,0.08,-20.056443691253662,217600,51888,82.20595455169678,0.01390614453703165,0.5281575592234731,0.0003,1088,276,,,
835,0.17,-24.60473895072937,230400,55088,41.12786504626274,0.017112308414652944,-0.45749557204544544,0.0003,1152,275,,,
884,0.16,-32.390942335128784,243200,58288,102.58814960718155,0.017680898308753967,-0.25557185895740986,0.0003,1216,275,,,
932,0.2,-41.26573693752289,256000,61488,117.63633173704147,0.017303888336755335,-0.8876335211098194,0.0003,1280,274,,,
980,0.13,-46.32259178161621,268800,64688,189.6375024318695,0.016939148888923228,-0.24005293287336826,0.0003,1344,274,,,
1028,0.18,-53.82810020446777,281600,67888,199.1231096982956,0.019957118085585535,-0.1973928171209991,0.0003,1408,273,,,
1076,0.12,-52.496851444244385,294400,71088,208.05895173549652,0.018358913250267506,0.24468422797508538,0.0003,1472,273,,,
1123,0.09,-56.014665365219116,307200,74288,293.2220488190651,0.02113906608428806,-0.5537329129874706,0.0003,1536,273,,,
1170,0.08,-57.41711354255676,320000,77488,159.70381271839142,0.021925461827777326,-0.2376123145222664,0.0003,1600,273,,,
1218,0.07,-59.81895923614502,332800,80688,63.08810043334961,0.022915560519322753,0.077737791929394,0.0003,1664,273,,,
1264,0.16,-61.41131281852722,345600,83888,141.28430008888245,0.027393699740059674,-0.7184387091547251,0.0003,1728,273,,,
1312,0.18,-65.89867663383484,358400,87088,116.6364272236824,0.026752762962132692,-0.4852320281788707,0.0003,1792,273,,,
1361,0.18,-69.6688175201416,371200,90288,439.09762823581696,0.02668593020644039,-0.5024373354390264,0.0003,1856,272,,,
1407,0.2,-78.72285223007202,384000,93488,153.51430821418762,0.02931917319074273,0.13429018668830395,0.0003,1920,272,,,
1456,0.2,-78.86862182617188,396800,96688,123.37871837615967,0.02941154409199953,0.4577996963635087,0.0003,1984,272,,,
1504,0.26,-77.96566581726074,409600,99888,507.3727208375931,0.032580955885350704,1.057652530260384,0.0003,2048,272,,,
1552,0.24,-85.32386684417725,422400,103088,234.45469629764557,0.03540909988805652,0.31171982549130917,0.0003,2112,272,,,
1598,0.2,-88.61546993255615,435200,106288,266.1545161008835,0.04241627058945596,-0.13111300487071276,0.0003,2176,272,,,
1646,0.16,-95.6273980140686,448000,109488,227.95355713367462,0.04020428191870451,-0.37420045118778944,0.0003,2240,272,,,
1694,0.25,-99.86215734481812,460800,112688,372.9954195022583,0.041484978748485446,1.0742525905370712,0.0003,2304,271,,,
1741,0.22,-102.9186601638794,473600,115888,228.21392166614532,0.049214750062674284,0.5279516270384192,0.0003,2368,271,,,
1789,0.17,-102.0992078781128,486400,119088,283.6669923067093,0.04598727752454579,-0.28918118868023157,0.0003,2432,271,,,
1836,0.18,-104.67559957504272,499200,122288,214.12072110176086,0.04649223922751844,-0.09686492080800235,0.0003,2496,271,,,
1884,0.23,-102.72320413589478,512000,125488,292.26969373226166,0.04777358565479517,0.07193658966571093,0.0003,2560,271,,,
