#{"t_start": 1782345158.6580584, "env_id": "None"}
r,l,t
-1.4275364,27,11.678636
-4.7636633,59,22.124744
-6.2751355,60,22.705983
-5.623092,60,22.705983
-6.886965,61,23.275859
-6.561736,62,23.863182
-8.346034,84,31.122374
-13.92804,104,36.943265
-13.276086,135,135.90131
-15.838398,136,136.467334
-20.458467,137,137.025132
-13.244613,141,138.537133
-12.610809,142,139.095865
-17.590342,147,140.923231
-22.60674,150,142.11233
-20.772398,155,143.82262
-26.023132,160,145.394776
-58.666885,200,156.194597
-73.830185,200,156.194597
-53.435474,200,156.194597
-31.695902,200,156.194597
-84.47662,200,156.194597
-80.2073,200,156.194597
-29.932953,200,156.194597
-35.984024,200,156.194597
-42.965275,200,156.194597
-42.238373,200,156.194597
-36.408623,200,156.194597
-32.061615,200,156.194597
-36.89649,200,156.194597
-34.176388,200,156.194597
-45.288277,200,156.194597
-40.230774,200,156.194597
-37.61864,200,156.194597
-57.97212,200,156.194597
-40.2048,200,156.195601
-52.69435,200,156.195601
-44.528248,200,156.195601
-50.91098,200,156.195601
-52.030434,200,156.195601
-74.471275,200,156.195601
-51.647408,200,156.195601
-38.778004,200,156.195601
-40.311447,200,156.195601
-39.90715,200,156.195601
-27.31524,200,156.195601
-27.316484,200,156.195601
-31.531471,200,156.195601
-47.445457,200,156.195601
-41.155766,200,156.195601
-46.89689,200,156.195601
-92.425896,200,156.195601
-33.250805,200,156.195601
-52.863705,200,156.195601
-28.19676,200,156.195601
-36.49591,200,156.195601
-41.94403,200,156.195601
-32.079468,200,156.195601
-70.61952,200,156.195601
-41.55223,200,156.195601
-48.773426,200,156.195601
-81.08307,200,156.195601
-57.307747,200,156.195601
-45.43056,200,156.195601
-55.17282,200,156.195601
-64.615776,200,156.195601
-45.371876,200,156.195601
-68.743614,200,156.195601
-67.19771,200,156.195601
-41.736248,200,156.195601
-85.86364,200,156.195601
-32.897465,200,156.195601
-50.472366,200,156.195601
-63.33499,200,156.195601
-63.054207,200,156.195601
-42.03529,200,156.195601
-35.540665,200,156.195601
-54.831505,200,156.195601
-82.938385,200,156.195601
-59.39804,200,156.195601
-82.061485,200,156.195601
-58.44961,200,156.195601
-42.533253,200,156.195601
-53.562428,200,156.195601
-70.377495,200,156.195601
-51.254215,200,156.195601
-32.470795,200,156.195601
-51.837975,200,156.195601
-49.533188,200,156.195601
-38.307274,200,156.195601
-44.41785,200,156.195601
-39.051403,200,156.195601
-47.08621,200,156.195601
-29.318954,200,156.195601
-62.196857,200,156.195601
-57.670666,200,156.195601
-36.868855,200,156.195601
-52.198956,200,156.195601
-46.817894,200,156.195601
-62.727497,200,156.195601
-88.65362,200,156.195601
-62.38856,200,156.195601
-54.535797,200,156.195601
-62.99976,200,156.195601
-56.98983,200,156.195601
-37.465977,200,156.195601
-59.29733,200,156.195601
-41.852547,200,156.195601
-67.1696,200,156.195601
-45.966347,200,156.195601
-49.73566,200,156.195601
-50.964962,200,156.195601
-67.58627,200,156.195601
-60.29359,200,156.195601
-84.61761,200,156.195601
-56.353867,200,156.195601
-70.48772,200,156.195601
-61.10959,200,156.195601
-73.22342,200,156.195601
-55.1555,200,156.195601
-41.853115,200,156.195601
-42.137493,200,156.195601
-48.413383,200,156.195601
-40.855198,200,156.195601
-37.79326,200,156.195601
-57.721745,200,156.196106
-43.710224,200,156.196106
-41.458805,200,156.196106
-33.55818,200,156.196106
-49.246967,200,156.196106
-40.745617,200,156.196106
-29.288212,200,156.196106
-31.756153,200,156.196106
-34.715996,200,156.196106
-38.302044,200,156.196106
-39.098797,200,156.196106
-48.925,200,156.196106
-61.639828,200,156.196106
-49.479824,200,156.196106
-64.04888,200,156.196106
-75.47211,200,156.196106
-42.245556,200,156.196106
-48.68108,200,156.196106
-66.81651,200,156.196106
-43.485275,200,156.196106
-65.302185,200,156.196106
-32.436596,200,156.196106
-52.023125,200,156.196106
-46.49925,200,156.196106
-46.344765,200,156.196106
-69.049095,200,156.196106
-46.76284,200,156.196106
-53.03068,200,156.196106
-35.54257,200,156.196106
-31.256784,200,156.196106
-68.42763,200,156.196106
-39.500618,200,156.196106
-44.194004,200,156.196106
-36.645424,200,156.196106
-40.920338,200,156.196106
-47.924603,200,156.196106
-41.684494,200,156.196106
-39.127728,200,156.196106
-42.132362,200,156.196106
-58.159485,200,156.196106
-71.053764,200,156.196106
-61.510563,200,156.196106
-64.3929,200,156.196106
-40.078197,200,156.196106
-54.030106,200,156.196106
-53.60908,200,156.196106
-41.22759,200,156.196106
-56.243282,200,156.197111
-46.001163,200,156.197111
-38.657627,200,156.197111
-60.721985,200,156.197111
-95.53969,200,156.197111
-35.019463,200,156.197111
-77.38267,200,156.197111
-69.38534,200,156.197111
-51.51578,200,156.197111
-59.96384,200,156.197111
-46.897835,200,156.197111
-59.930717,200,156.197111
-52.139973,200,156.197111
-47.84291,200,156.197111
-28.83037,200,156.197111
-74.26464,200,156.197111
-49.800667,200,156.197111
-66.9698,200,156.197111
-31.36998,200,156.197111
-80.66157,200,156.197111
-46.99182,200,156.197111
-51.49857,200,156.197111
-46.78081,200,156.197111
-93.44058,200,156.197111
-70.077324,200,156.197111
-39.21091,200,156.197111
-35.66528,200,156.197111
-61.088963,200,156.197111
-67.72662,200,156.197111
-49.39481,200,156.197111
-47.632236,200,156.197111
-32.469265,200,156.197111
-43.72362,200,156.197111
-68.160736,200,156.197111
-32.401558,200,156.197111
-32.33528,200,156.197111
-51.656044,200,156.197111
-36.990097,200,156.197111
-45.291138,200,156.197111
-36.81781,200,156.197111
-60.877758,200,156.197111
-32.22191,200,156.197111
-61.01473,200,156.197111
-57.691376,200,156.197111
-43.422237,200,156.197111
-38.296463,200,156.197111
-24.303654,200,156.197111
-81.18148,200,156.197111
-56.13956,200,156.197111
-51.9481,200,156.197111
-62.020123,200,156.197111
-59.691296,200,156.197111
-28.629791,200,156.197111
-45.065136,200,156.197111
-50.78665,200,156.197111
-70.94501,200,156.197111
-33.231926,200,156.197111
-36.761196,200,156.197111
-62.73078,200,156.197111
-58.99777,200,156.197111
-42.101677,200,156.197111
-44.750015,200,156.197111
-31.467716,200,156.197111
-57.18213,200,156.197111
-31.756872,200,156.197111
-34.162796,200,156.197111
-31.199497,200,156.197111
-48.605713,200,156.197111
-75.84994,200,156.197111
-35.865772,200,156.197111
-44.922085,200,156.197111
-57.592644,200,156.197111
-46.980125,200,156.197111
-35.500134,200,156.197111
-44.378452,200,156.197111
-48.17346,200,156.197111
-38.854053,200,156.197111
-53.111927,200,156.197111
-61.714146,200,156.197111
-75.636604,200,156.197111
-49.20806,200,156.197111
-40.730095,200,156.197111
-52.51313,200,156.197111
-38.145943,200,156.197111
-76.741875,200,156.197111
-77.75265,200,156.197111
-43.394424,200,156.197111
-60.01985,200,156.197111
-54.80555,200,156.197111
-80.924225,200,156.197111
-67.955894,200,156.197111
-58.640797,200,156.197111
-88.11575,200,156.197111
-42.935204,200,156.197111
-68.08036,200,156.197616
-54.453724,200,156.197616
-58.63235,200,156.197616
-37.64798,200,156.197616
-43.29818,200,156.197616
-31.509706,200,156.197616
-31.494116,200,156.197616
-49.514248,200,156.197616
-41.191875,200,156.197616
-62.60715,200,156.197616
-38.815426,200,156.197616
-59.339764,200,156.197616
-32.10556,200,156.197616
