rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,train/approx_kl,eval/success_rate,train/learning_rate,train/std,train/n_updates,train/value_loss,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,eval/mean_reward
75.0,524288,42,12474,-8.149529,1,,,,,,,,,,,,,,
,999424,,,,,-2.8763108140788973,5.7267094257440475e-05,200.0,0.0010376452,0.0,0.00048252373333333335,1.0234692096710205,20,1.5340330359351355,0.6550906896591187,-0.0031255483627319336,0.2,0.006140327453613282,-49.82583999633789
193.37,1048576,181,5789,-48.862076,2,,,,,,,,,,,,,,
167.05,1572864,306,5132,-38.9348,3,-2.9111061881063507,-0.007931070913559778,,0.0087006595,,0.0004650474666666667,1.0356717109680176,40,0.06299283570515399,-0.0024868566542863846,0.28615909814834595,0.2,0.1114579200744629,
,1998848,,,,,-2.9007245216518642,-0.0057335771026146174,200.0,0.0053642676,0.0,0.00044757120000000003,1.0348014831542969,60,0.009706132591509231,-0.03422151878476143,0.9032162502408028,0.2,0.061842727661132815,-46.147945404052734
99.95,2097152,494,4240,-20.810013,4,,,,,,,,,,,,,,
147.13,2621440,684,3829,-38.92511,5,-2.9003355886088684,-0.002830875812855993,,0.0045472262,,0.0004300949333333333,1.0319688320159912,80,0.03756267565186135,-0.01683751307427883,0.8564020991325378,0.2,0.0421910285949707,
,2998272,,,,,-2.8941848321817814,-0.0019178564477897453,200.0,0.0039846003,0.0,0.0004126186666666667,1.028693437576294,100,0.04182607739239756,-0.014044713228940964,0.8559334874153137,0.2,0.036079120635986325,-48.324153900146484
163.06,3145728,848,3709,-37.38213,6,,,,,,,,,,,,,,
151.17,3670016,1001,3663,-35.324684,7,-2.8799520097207276,-0.004387805144062895,,0.0054392507,,0.0003951424,1.0232194662094116,120,0.008273383083269437,-0.026874998584389687,0.9564044289290905,0.2,0.05728492736816406,
,3997696,,,,,-2.878544453741051,-0.002360532801037607,197.06,0.0047993455,0.02,0.00037766613333333333,1.0239242315292358,140,0.05260327339783544,-0.003653470426797867,0.8502474725246429,0.2,0.04782037734985352,-39.513145446777344
108.47,4194304,1196,3504,-26.294466,8,,,,,,,,,,,,,,
162.41,4718592,1367,3449,-32.491505,9,-2.874442200618796,-0.0022866857948088183,,0.004566413,,0.0003601898666666666,1.017455816268921,160,0.04833389302148135,6.109848618507385e-05,0.8593112826347351,0.2,0.04549751281738281,
,4997120,,,,,-2.8426372366026045,-0.005577695637180113,173.42,0.006292898,0.16,0.0003427136,1.001099705696106,180,0.021051164577693272,-0.024666737765073776,0.9324951469898224,0.2,0.07302675247192383,-33.212215423583984
150.97,5242880,1548,3386,-34.01013,10,,,,,,,,,,,,,,
187.69,5767168,1702,3388,-44.23935,11,-2.8144891464617103,-0.00395436492524368,,0.0055636875,,0.00032523733333333335,0.9866887331008911,200,0.07153635864196986,0.009248277172446251,0.8528816998004913,0.2,0.06097698211669922,
,5996544,,,,,-2.794069196539931,-0.0032059454057389303,183.1,0.0053814556,0.12,0.0003077610666666667,0.9788646697998047,220,0.060307665311120216,-0.0016349293291568756,0.8668119460344315,0.2,0.05775718688964844,-39.095069885253906
143.22,6291456,1854,3392,-31.541851,12,,,,,,,,,,,,,,
114.47,6815744,2026,3363,-26.247221,13,-2.7496699148090555,-0.0067327064012033585,,0.0074154306,,0.00029028480000000003,0.957798957824707,240,0.051255113333536426,-0.005130011588335037,0.9073231518268585,0.2,0.0857625961303711,
,6995968,,,,,-2.7199050199473276,-0.004057525962389263,147.84,0.0057630856,0.3,0.0002728085333333333,0.9420768022537231,260,0.09394030909716093,0.015949776396155357,0.8551091700792313,0.2,0.06292943954467774,-28.300146102905273
120.62,7340032,2178,3368,-25.001438,14,,,,,,,,,,,,,,
118.85,7864320,2318,3391,-24.68571,15,-2.6802329395199194,-0.005148585670167449,,0.0067672255,,0.00025533226666666665,0.9254118800163269,280,0.046851018314555404,-0.00406453013420105,0.913418598473072,0.2,0.07754049301147461,
,7995392,,,,,-2.652344454242848,-0.004193017935142507,117.84,0.0060444437,0.46,0.00023785600000000002,0.910637617111206,300,0.11458921177254525,0.027691148221492767,0.8687671422958374,0.2,0.06744375228881835,-23.400407791137695
112.07,8388608,2506,3346,-23.392427,16,,,,,,,,,,,,,,
97.67,8912896,2616,3406,-19.226076,17,-2.6208405958954244,-0.0035284026930526126,,0.005599438,,0.00022037973333333333,0.8953214883804321,320,0.10584947639727034,0.035135187208652496,0.8657193630933762,0.2,0.05978260040283203,
,8994816,,,,,-2.5863702257629484,-0.004573181320074582,87.0,0.00620344,0.64,0.00020290346666666665,0.8807793855667114,340,0.09099061353008438,0.011819247156381607,0.8958660438656807,0.2,0.06856889724731445,-16.423133850097656
91.02,9437184,2756,3423,-18.033537,18,,,,,,,,,,,,,,
111.51,9961472,2919,3411,-25.530056,19,-2.5564041047357025,-0.0036184665279392902,,0.0055153035,,0.0001854272,0.8677709102630615,360,0.12776592517548124,0.03185168281197548,0.8678183406591415,0.2,0.060491943359375,
,9994240,,,,,-2.5219964859308677,-0.003953685702356324,76.28,0.0057047955,0.7,0.00016795093333333332,0.8542100191116333,380,0.09835503376671113,0.01042833924293518,0.8914273977279663,0.2,0.06125059127807617,-12.815873146057129
89.8,10485760,3111,3369,-16.856129,20,,,,,,,,,,,,,,
,10993664,,,,,-2.489740379387513,-0.003964439202252379,82.54,0.0058875014,0.66,0.00015047466666666664,0.8403254747390747,400,0.11144572368284571,0.03107580542564392,0.8897537291049957,0.2,0.062154197692871095,-13.422948837280273
95.56,11010048,3292,3343,-18.208187,21,,,,,,,,,,,,,,
80.99,11534336,3457,3335,-14.083859,22,-2.4602414487395436,-0.0034333053793830005,,0.005608095,,0.00013299840000000003,0.8273335695266724,420,0.10358057813828055,0.020816700533032417,0.8973684459924698,0.2,0.05604057312011719,
,11993088,,,,,-2.4290393535513433,-0.003482589150542026,81.36,0.0053568054,0.7,0.00011552213333333333,0.8153731822967529,440,0.1029733316932834,0.021208029240369797,0.9011256545782089,0.2,0.05441770553588867,-15.280791282653809
71.6,12058624,3644,3308,-15.059617,23,,,,,,,,,,,,,,
67.2,12582912,3801,3309,-12.404082,24,-2.400292541948147,-0.0033194904656511427,,0.0051820464,,9.804586666666666e-05,0.8037058115005493,460,0.10510270874437992,0.023590048775076866,0.9059758633375168,0.2,0.05204582214355469,
,12992512,,,,,-2.3781939786393194,-0.003024407304519627,64.86,0.004899369,0.78,8.056960000000002e-05,0.7943297624588013,480,0.09535899103830162,0.013866350054740906,0.9142728969454765,0.2,0.04863119125366211,-10.341269493103027
76.99,13107200,4001,3275,-15.422316,25,,,,,,,,,,,,,,
65.25,13631488,4172,3266,-11.188594,26,-2.353832735167816,-0.002790448992175243,,0.0046929955,,6.309333333333333e-05,0.78475022315979,500,0.09691805042602937,0.015115238726139069,0.914663277566433,0.2,0.04374971389770508,
,13991936,,,,,-2.3310517952078955,-0.0028625690093463164,75.74,0.0045331246,0.72,4.5617066666666654e-05,0.7756955623626709,520,0.09320922988372331,0.018698206171393394,0.9181828796863556,0.2,0.041675662994384764,-14.648719787597656
70.16,14155776,4329,3269,-13.094365,27,,,,,,,,,,,,,,
59.0,14680064,4452,3296,-11.113716,28,-2.309420709544793,-0.0025639274489321906,,0.004123441,,2.814080000000002e-05,0.7667668461799622,540,0.09156189926725347,0.04415178298950195,0.9185519516468048,0.2,0.033840084075927736,
,14991360,,,,,-2.29004191707354,-0.0022771773050976663,47.58,0.0037378366,0.86,1.0664533333333338e-05,0.758132815361023,560,0.08485946031287313,0.023663397878408432,0.9215273261070251,0.2,0.024854469299316406,-7.68914794921875
61.01,15204352,4632,3281,-11.000311,29,,,,,,,,,,,,,,
