time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/explained_variance,eval/success_rate,eval/mean_ep_length,train/loss,eval/mean_reward,train/clip_fraction
524288,42,1,78.16666666666667,-8.627763,12473,,,,,,,,,,,,,,
999424,,,,,,0.0004912618666666667,0.001044086,0.2,5.749966093162584e-05,20,1.5309101290011313,-2.8762427975190805,1.0229439735412598,-0.0031332969665527344,0.0,200.0,0.648341715335846,-49.865272521972656,0.006156349182128906
1048576,160,2,196.41,-49.77678,6532,,,,,,,,,,,,,,
1572864,269,3,178.52,-42.432663,5846,0.00048252373333333335,0.009314787,0.2,-0.008858635352680722,40,0.06300584748860275,-2.9138466104865075,1.0385220050811768,0.3035733103752136,,,-0.0028244033455848694,,0.12030601501464844
1998848,,,,,,0.00047378560000000005,0.0056366744,0.2,-0.006174845948032725,60,0.00937217851933383,-2.9060735809383913,1.0363719463348389,0.9064791798591614,0.0,200.0,-0.029352331534028053,-47.059837341308594,0.06495361328125
2097152,429,4,126.35,-29.45399,4884,,,,,,,,,,,,,,
2621440,588,5,124.18,-30.797894,4453,0.0004650474666666667,0.0048405286,0.2,-0.003080617858609003,80,0.03811975212811376,-2.9041318686679007,1.0339596271514893,0.8609820157289505,,,-0.015338815748691559,,0.047086048126220706
2998272,,,,,,0.00045630933333333333,0.0049449215,0.2,-0.003107050516291565,100,0.043023761743643266,-2.898254106193781,1.0319069623947144,0.8498887717723846,0.02,197.98,-0.008521733805537224,-48.233543395996094,0.04993419647216797
3145728,724,6,161.75,-36.02437,4343,,,,,,,,,,,,,,
3670016,875,7,156.04,-39.219242,4193,0.00044757120000000003,0.006113546,0.2,-0.0056271274001119306,120,0.008060832762612335,-2.8872596336062997,1.024156093597412,0.9548398740589619,,,-0.02934245392680168,,0.0685089111328125
3997696,,,,,,0.00043883306666666667,0.005037448,0.2,-0.002539302710829361,140,0.05288173021253897,-2.8839030008763076,1.0212228298187256,0.845428466796875,0.0,200.0,-0.01042967289686203,-41.246337890625,0.051952552795410153
