#{"t_start": 1782379674.2784123, "env_id": "None"}
r,l,t
-3.1099567,41,5.617947
-59.472153,200,61.634623
-72.603134,200,61.635123
-53.65445,200,61.635123
-29.592402,200,61.635123
-85.059395,200,61.635123
-74.65056,200,61.635123
-30.022007,200,61.635123
-38.28147,200,61.635123
-39.39107,200,61.635123
-40.92235,200,61.635123
-36.968857,200,61.635123
-31.305876,200,61.635123
-37.060738,200,61.635123
-32.489105,200,61.635123
-44.637947,200,61.635123
-40.505985,200,61.635123
-37.561077,200,61.635123
-56.342255,200,61.635123
-40.327137,200,61.635123
-52.026817,200,61.635123
-43.16947,200,61.635623
-50.781876,200,61.635623
-51.367588,200,61.635623
-73.54525,200,61.635623
-50.194324,200,61.635623
-38.297962,200,61.635623
-33.122242,200,61.635623
-33.851414,200,61.635623
-25.190111,200,61.635623
-34.065533,200,61.635623
-31.651217,200,61.635623
-46.438858,200,61.635623
-41.582306,200,61.635623
-45.81604,200,61.635623
-92.08395,200,61.635623
-33.750626,200,61.635623
-51.83563,200,61.635623
-32.872715,200,61.635623
-42.50294,200,61.635623
-26.181269,200,61.635623
-71.66177,200,61.635623
-41.34514,200,61.635623
-48.60118,200,61.635623
-80.411026,200,61.635623
-65.821915,200,61.635623
-43.76969,200,61.635623
-53.886932,200,61.635623
-64.57828,200,61.635623
-45.271915,200,61.635623
-69.08327,200,61.635623
-66.05376,200,61.635623
-40.117714,200,61.635623
-85.909164,200,61.635623
-35.18286,200,61.635623
-50.47039,200,61.635623
-58.350445,200,61.635623
-61.994225,200,61.635623
-43.276585,200,61.635623
-33.665833,200,61.635623
-46.618782,200,61.635623
-79.11516,200,61.635623
-59.20838,200,61.635623
-80.92173,200,61.635623
-57.514473,200,61.635623
-41.12916,200,61.635623
-52.803,200,61.635623
-69.399635,200,61.635623
-53.32233,200,61.635623
-31.794157,200,61.635623
-50.02687,200,61.635623
-49.103832,200,61.635623
-39.322395,200,61.635623
-43.33296,200,61.635623
-39.30107,200,61.635623
-45.396957,200,61.635623
-25.455551,200,61.635623
-51.337708,200,61.635623
-46.253086,200,61.635623
-36.45152,200,61.635623
-52.068913,200,61.635623
-39.228283,200,61.635623
-62.743767,200,61.635623
-89.05352,200,61.635623
-52.082542,200,61.635623
-54.259243,200,61.635623
-62.162716,200,61.635623
-60.214607,200,61.635623
-30.516443,200,61.635623
-56.507416,200,61.635623
-38.844738,200,61.635623
-65.79664,200,61.635623
-42.349686,200,61.635623
-51.01002,200,61.635623
-51.76051,200,61.635623
-66.79667,200,61.635623
-58.906036,200,61.635623
-84.5594,200,61.635623
-55.950054,200,61.635623
-70.14121,200,61.635623
-60.39995,200,61.635623
-73.462746,200,61.635623
-58.432674,200,61.635623
-39.494255,200,61.635623
-42.12264,200,61.635623
-46.735683,200,61.635623
-38.845177,200,61.635623
-37.43109,200,61.635623
-60.033745,200,61.635623
-43.349964,200,61.635623
-44.39611,200,61.635623
-32.936115,200,61.635623
-50.406784,200,61.636123
-39.653038,200,61.636123
-31.578575,200,61.636123
-42.973873,200,61.636123
-34.697216,200,61.636123
-33.921684,200,61.636123
-34.9547,200,61.636123
-53.71593,200,61.636123
-62.509136,200,61.636123
-48.153877,200,61.636123
-64.421684,200,61.636123
-73.48934,200,61.636123
-41.688362,200,61.636123
-49.87046,200,61.636123
-68.39344,200,61.636123
-42.739876,200,61.636123
-46.673172,200,79.680264
-46.128822,200,149.178958
-81.77681,200,149.178958
-32.73204,200,149.178958
-40.62712,200,149.178958
-31.048458,200,149.178958
-48.117302,200,149.178958
-37.426334,200,149.178958
-35.292233,200,149.178958
-81.54978,200,149.178958
-55.660393,200,149.178958
-59.461735,200,149.178958
-60.310337,200,149.178958
-51.841637,200,149.178958
-58.567276,200,149.178958
-70.31128,200,149.178958
-59.315735,200,149.178958
-49.415154,200,149.178958
-62.397873,200,149.178958
-44.22375,200,149.178958
-46.984894,200,149.178958
-37.571,200,149.178958
-38.386257,200,149.178958
-46.15908,200,149.178958
-40.69102,200,149.178958
-33.66393,200,149.178958
-48.77933,200,149.178958
-37.79356,200,149.178958
-37.989388,200,149.178958
-64.80099,200,149.178958
-63.30204,200,149.178958
-38.88251,200,149.178958
-41.257786,200,149.178958
-38.62472,200,149.178958
-65.0325,200,149.179458
-61.13662,200,149.179458
-58.270123,200,149.179458
-38.588867,200,149.179458
-40.73504,200,149.179458
-33.555878,200,149.179458
-59.875366,200,149.179458
-56.827682,200,149.179458
-69.143135,200,149.179458
-47.741898,200,149.179458
-35.42907,200,149.179458
-40.523113,200,149.179458
-62.986446,200,149.179458
-38.37451,200,149.179458
-42.149834,200,149.179458
-43.34356,200,149.179458
-88.274994,200,149.179458
-35.870945,200,149.179458
-36.059456,200,149.179458
-45.209072,200,149.179458
-38.63742,200,149.179458
-45.63339,200,149.179458
-41.18278,200,149.179458
-67.57627,200,149.179458
-36.363853,200,149.179458
-28.851252,200,149.179458
-35.7426,200,149.179458
-66.29828,200,149.179458
-31.019833,200,149.179458
-32.06623,200,149.179458
-33.791103,200,149.179458
-92.58689,200,149.179458
-61.64861,200,149.179458
-63.470547,200,149.179458
-63.601078,200,149.179458
-37.690132,200,149.179458
-70.085686,200,149.179458
-79.54206,200,149.179458
-54.297523,200,149.179458
-47.304848,200,149.179458
-66.79737,200,149.179458
-58.82498,200,149.179458
-78.65197,200,149.179458
-48.703114,200,149.179458
-83.765656,200,149.179458
-58.2679,200,149.179458
-27.424534,200,149.179458
-70.14303,200,149.179458
