time/iterations,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,time/fps,train/n_updates,train/approx_kl,time/total_timesteps,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/std,time/time_elapsed,train/entropy_loss,train/loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
4,100.0,0.8240191340446472,0.0002975424,0.2,215,30,0.005880304,32768,-20.190853790000002,-0.003959627984659164,0.536141462426167,1.0111808776855469,151,-2.8529819674789905,0.2913593649864197,0.05697021484375,,,
8,100.0,0.9755054246634245,0.0002942656,0.2,212,70,0.008603658,65536,-18.16041353,-0.00782333074384951,0.18807498632813804,0.9811049699783325,308,-2.808008794300258,0.06725607812404633,0.091796875,,,
12,100.0,0.9948451230302453,0.00029098879999999995,0.2,218,110,0.007624656,98304,-18.79886491,-0.006980816675059032,0.05424849263654323,0.9402344226837158,449,-2.7113998968154194,-0.001607801765203476,0.08243408203125,,,
,,0.9954988840036094,0.0002901696,0.2,,120,0.008335963,100000,,-0.006437071427353658,0.053168032519170086,0.9231936931610107,,-2.680116523616016,0.007645109668374062,0.08916015625,0.0,-17.540898770000002,100.0
16,100.0,0.998255237354897,0.00028771199999999997,0.2,200,150,0.005814372,131072,-17.04703425,-0.0032913043120061047,0.03373111151959165,0.8770129680633545,653,-2.5818359388038514,0.009634889662265778,0.05386962890625,,,
20,100.0,0.9988629930885509,0.0002844352,0.2,205,190,0.005341147,163840,-17.186841029999997,-0.003322125953854993,0.02380677355104126,0.8468079566955566,798,-2.497273907624185,-0.036911629140377045,0.068408203125,,,
24,100.0,0.9988615319598466,0.00028115839999999997,0.2,208,230,0.005308479,196608,-15.796480980000004,-0.002660852764529409,0.03319087717391085,0.8430732488632202,945,-2.477733301743865,-0.004770217463374138,0.060302734375,,,
,,0.998860651627183,0.00028033919999999996,0.2,,240,0.006464649,200000,,-0.000982737811136758,0.029098762104695197,0.8469681739807129,,-2.4864203199744224,-0.004605226218700409,0.05533447265625,0.0,-16.766322119999998,100.0
28,100.0,0.9990155508276075,0.0002778816,0.2,193,270,0.00669475,229376,-15.42922701,-0.0009661830776167335,0.028890642889018638,0.8456052541732788,1183,-2.479537326283753,-0.00881960429251194,0.06044921875,,,
32,100.0,0.9992827462265268,0.00027460479999999996,0.2,195,310,0.0058283014,262144,-15.238218529999997,-0.0010640642476573703,0.029071394271886673,0.8180873990058899,1341,-2.4214923100546004,-0.01195431686937809,0.07362060546875,,,
