#{"t_start": 1780252175.5298011, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-9.627753,50,4.190788,False
-4.57846,50,4.778474,False
-13.001645,50,5.41452,False
-6.651962,50,6.015418,False
-1.978005,50,6.619767,False
-3.984743,50,7.203048,False
-7.632985,50,7.788823,False
-10.564948,50,8.365592,False
-5.433538,50,8.946427,False
-9.158709,50,9.529754,False
-10.821561,50,10.104017,False
-8.749358,50,10.708206,False
-11.468692,50,11.292457,False
-9.967184,50,11.87622,False
-12.6824,50,12.460688,False
-2.672146,50,13.039856,False
-9.506222,50,13.622393,False
-9.682541,50,14.202581,False
-7.897685,50,14.785285,False
-11.25821,50,15.367519,False
-7.883386,50,15.952735,False
-8.012697,50,16.528426,False
-9.286607,50,17.155788,False
-2.53158,50,17.742453,False
-11.841396,50,18.32568,False
-10.978206,50,18.907811,False
-10.62928,50,19.52955,False
-3.765413,50,20.107171,False
-10.138315,50,20.734437,False
-5.311275,50,21.319496,False
-10.420217,50,21.901493,False
-9.013559,50,22.483161,False
-5.978389,50,23.061082,False
-13.331716,50,23.675829,False
-2.318929,50,24.254881,False
-9.488855,50,24.886641,False
-14.806703,50,25.508299,False
-8.301907,50,26.116513,False
-12.116017,50,26.701199,False
-9.83178,50,27.284276,False
-6.388937,50,33.490701,False
-7.705251,50,34.078502,False
-7.329681,50,34.645833,False
-5.62,50,35.21958,False
-3.353313,50,35.798523,False
-11.824331,50,36.387204,False
-7.971895,50,36.9704,False
-5.627718,50,37.55904,False
-5.235749,50,38.130246,False
-15.005782,50,38.716409,False
-3.053723,50,39.297588,False
-10.050661,50,39.872798,False
-7.790506,50,40.45424,False
-8.279923,50,41.036971,False
-11.386304,50,41.614684,False
-6.1106,50,42.18195,False
-7.635579,50,42.751656,False
-2.282927,50,43.339479,False
-7.154219,50,43.897897,False
-3.590123,50,44.478951,False
-1.588557,50,45.064008,False
-1.719353,50,45.648343,False
-6.895635,50,46.214928,False
-2.781088,50,46.778541,False
-0.595227,50,47.344281,False
-8.566071,50,47.911548,False
-7.049373,50,48.468825,False
-6.174526,50,49.058648,False
-7.750214,50,49.6157,False
-11.608237,50,50.162312,False
