#{"t_start": 1778444661.8525887, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,4.745179,False
-50.0,50,5.545014,False
-50.0,50,6.352922,False
-50.0,50,7.153295,False
-50.0,50,7.970278,False
-50.0,50,8.764181,False
-50.0,50,9.565109,False
-50.0,50,10.371435,False
-50.0,50,11.171065,False
-50.0,50,11.975192,False
-50.0,50,12.773733,False
-50.0,50,13.608049,False
-50.0,50,51.774453,False
-50.0,50,52.591944,False
-50.0,50,53.407077,False
-50.0,50,54.231887,False
-50.0,50,55.048634,False
-50.0,50,55.874216,False
-50.0,50,56.686108,False
-50.0,50,57.517864,False
-50.0,50,58.326769,False
-50.0,50,59.150809,False
-50.0,50,59.972634,False
-50.0,50,60.775944,False
-50.0,50,61.579381,False
-50.0,50,99.904654,False
-50.0,50,100.710039,False
-50.0,50,101.529049,False
-50.0,50,102.33533,False
-50.0,50,103.144723,False
-50.0,50,103.938442,False
-50.0,50,104.742951,False
-50.0,50,105.541685,False
-50.0,50,106.343011,False
-50.0,50,107.142666,False
-50.0,50,107.940257,False
-50.0,50,108.745439,False
-50.0,50,146.48862,False
-50.0,50,147.298576,False
-50.0,50,148.124203,False
-50.0,50,159.466391,False
-50.0,50,160.286204,False
-50.0,50,161.098503,False
-50.0,50,161.908741,False
-50.0,50,162.741238,False
-50.0,50,163.58657,False
