#{"t_start": 1778462407.4168673, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-4.304453,50,4.687869,False
-4.470504,50,5.48491,False
-5.834339,50,6.279185,False
-4.757979,50,7.086936,False
-7.680346,50,7.890284,False
-11.699118,50,8.676997,False
-5.845069,50,9.465122,False
-9.57469,50,10.263978,False
-9.274152,50,11.059544,False
-3.878114,50,11.864042,False
-4.612569,50,12.649728,False
-10.747777,50,13.44302,False
-8.58429,50,14.235506,False
-7.424153,50,15.034267,False
-6.034829,50,15.830137,False
-4.851625,50,16.629207,False
-8.701265,50,17.428146,False
-7.364276,50,18.223207,False
-5.414313,50,19.019781,False
-4.175395,50,19.812908,False
-7.405816,50,20.615672,False
-7.285656,50,21.410532,False
-1.658399,50,22.247713,False
-3.368314,50,23.045799,False
-3.167886,50,23.849813,False
-13.401875,50,24.661626,False
-11.350642,50,25.477116,False
-14.123086,50,26.271302,False
-9.357007,50,27.071044,False
-8.116725,50,27.87835,False
-7.989727,50,28.67949,False
-3.408933,50,29.480542,False
-11.178031,50,30.294252,False
-4.444231,50,31.09445,False
-6.225382,50,31.898845,False
-0.805579,50,32.708296,False
-2.361061,50,33.511116,False
-11.804422,50,34.340242,False
-4.929858,50,35.150408,False
-2.254654,50,35.982662,False
-8.14001,50,48.064973,False
-6.63415,50,48.916527,False
-3.811454,50,49.759429,False
-6.428008,50,50.569992,False
-10.583266,50,51.356747,False
-8.303421,50,52.15338,False
-6.274511,50,52.96087,False
-2.770888,50,53.774057,False
-12.933033,50,54.592357,False
-9.353783,50,55.399395,False
-1.366754,50,56.194981,False
-2.450834,50,57.009872,False
-3.727956,50,57.826197,False
-5.923053,50,58.635789,False
-7.830163,50,59.468011,False
-14.458385,50,60.288257,False
-11.089307,50,61.105394,False
-5.768658,50,61.927174,False
-11.002857,50,62.774096,False
-10.982658,50,63.593708,False
-5.9491,50,64.399721,False
-6.771735,50,65.197438,False
-5.713156,50,65.991288,False
-15.165118,50,66.783052,False
-7.761663,50,67.587029,False
-9.411917,50,68.390288,False
-9.222457,50,69.193897,False
-10.496103,50,69.993333,False
-5.179147,50,70.794902,False
-13.559509,50,71.589561,False
-10.978086,50,72.396769,False
-1.728032,50,73.202498,False
-8.314608,50,74.000775,False
-3.771898,50,74.794062,False
-2.292081,50,75.589946,False
-1.101606,50,76.397453,False
-7.06043,50,77.187428,False
-3.800842,50,77.986342,False
-4.632492,50,78.778458,False
-8.6764,50,79.567682,False
-4.929393,50,80.362833,False
-1.141018,50,91.742417,False
-5.003258,50,92.538135,False
