#{"t_start": 1778450065.4025326, "env_id": "MujocoUR3PushSimpleEnv"}
r,l,t,is_success
-50.0,50,6.183454,False
-50.0,50,7.208866,False
-50.0,50,8.188279,False
-50.0,50,9.164338,False
-50.0,50,10.173455,False
-50.0,50,11.162719,False
-50.0,50,12.151664,False
-50.0,50,13.126948,False
-50.0,50,14.107676,False
-50.0,50,15.086314,False
-50.0,50,16.079803,False
-50.0,50,17.052189,False
-50.0,50,18.028542,False
-50.0,50,19.009095,False
-50.0,50,19.999755,False
-50.0,50,21.001835,False
-50.0,50,21.997666,False
-50.0,50,23.022248,False
-50.0,50,24.00689,False
-50.0,50,25.007027,False
-50.0,50,26.025433,False
-50.0,50,26.99577,False
-50.0,50,27.994728,False
-50.0,50,28.986785,False
-50.0,50,30.046453,False
-50.0,50,31.072343,False
-50.0,50,32.058054,False
-50.0,50,33.053358,False
-50.0,50,34.039585,False
-50.0,50,35.03747,False
-50.0,50,36.031871,False
-50.0,50,37.012069,False
-50.0,50,38.021821,False
-50.0,50,39.002371,False
-50.0,50,39.983222,False
-50.0,50,40.963205,False
-50.0,50,41.950894,False
-50.0,50,42.955125,False
-50.0,50,43.952663,False
-50.0,50,44.935231,False
-50.0,50,70.362443,False
-50.0,50,71.356903,False
-50.0,50,72.328094,False
-50.0,50,73.335366,False
-50.0,50,74.318758,False
-50.0,50,75.28018,False
-50.0,50,76.262821,False
-50.0,50,77.236707,False
-50.0,50,78.231542,False
-50.0,50,79.215533,False
-50.0,50,127.708081,False
-50.0,50,128.701763,False
-50.0,50,129.681782,False
-50.0,50,130.665507,False
-50.0,50,131.641802,False
-50.0,50,132.641303,False
-50.0,50,133.644402,False
-50.0,50,134.639506,False
-50.0,50,135.637789,False
-50.0,50,136.623187,False
-50.0,50,137.599763,False
-50.0,50,138.575596,False
-50.0,50,139.552607,False
-50.0,50,140.529225,False
-50.0,50,141.5447,False
-50.0,50,142.523971,False
-50.0,50,143.52006,False
-50.0,50,144.513177,False
-50.0,50,145.489569,False
-50.0,50,146.475627,False
-50.0,50,147.463956,False
-50.0,50,148.466705,False
-50.0,50,149.454913,False
-50.0,50,150.440195,False
-50.0,50,151.420225,False
-50.0,50,152.400506,False
-50.0,50,153.393053,False
-50.0,50,154.398581,False
-50.0,50,155.39052,False
-50.0,50,156.356782,False
-50.0,50,157.319078,False
-50.0,50,183.450497,False
-50.0,50,184.425509,False
-50.0,50,185.428521,False
-50.0,50,186.416146,False
-50.0,50,187.394429,False
-50.0,50,188.382504,False
-50.0,50,189.372595,False
-50.0,50,190.359728,False
-50.0,50,191.345962,False
-50.0,50,192.332898,False
-50.0,50,193.316208,False
-50.0,50,194.302394,False
-50.0,50,195.31759,False
-50.0,50,196.325648,False
-50.0,50,197.305089,False
-50.0,50,198.296712,False
-50.0,50,199.281321,False
-50.0,50,200.271986,False
-50.0,50,201.258404,False
-50.0,50,247.982715,False
-50.0,50,248.998646,False
-50.0,50,249.972137,False
-50.0,50,250.95409,False
-50.0,50,251.930582,False
-50.0,50,252.907022,False
-50.0,50,253.88848,False
-50.0,50,254.864208,False
-50.0,50,255.851794,False
-50.0,50,256.8439,False
-50.0,50,257.823336,False
-50.0,50,258.805248,False
-50.0,50,259.792539,False
-50.0,50,260.76713,False
-50.0,50,261.739005,False
-50.0,50,262.722436,False
-50.0,50,263.697771,False
-50.0,50,264.687307,False
-50.0,50,265.651557,False
-50.0,50,266.642554,False
0.0,50,267.64471,True
-50.0,50,268.629349,False
-50.0,50,294.43256,False
-50.0,50,295.421083,False
-50.0,50,296.406866,False
-50.0,50,297.402555,False
-50.0,50,298.372087,False
-50.0,50,299.349782,False
-50.0,50,300.318921,False
-50.0,50,301.286994,False
-50.0,50,302.276738,False
-50.0,50,303.275742,False
-50.0,50,304.288506,False
-50.0,50,305.279335,False
