eval/mean_ep_length,train/loss,train/learning_rate,train/std,train/clip_range,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,time/total_timesteps,train/n_updates,eval/success_rate,train/explained_variance,eval/mean_reward,train/policy_gradient_loss
100.0,2.5255048274993896,0.00048033920000000005,0.9306631088256836,0.2,-2.6995358295738696,0.004486074,0.041330718994140626,4.931468963623047,1999872,150,0.0,0.849661260843277,-22.731362257525326,-0.001729490264187916
91.95,3.5733392238616943,0.0004606784,0.8428782224655151,0.2,-2.497907567024231,0.006340202,0.050472259521484375,7.745829291641712,3999744,300,0.1,0.8443574160337448,-18.49102640375495,-0.0009271436974813696
91.9,4.482933044433594,0.0004410176,0.772559642791748,0.2,-2.3256779693067076,0.004660492,0.05178680419921875,8.687714371085168,5999616,450,0.1,0.8308258801698685,-19.76890350021422,-0.0011768919070163975
78.5,3.438302993774414,0.00042004608,0.712437629699707,0.2,-2.1613719373941422,0.00581435,0.06030960083007812,8.478821639716625,7999488,610,0.3,0.8385040462017059,-16.44599322266877,-0.0010666215090168406
55.25,3.645453929901123,0.00040038528000000003,0.6671085357666016,0.2,-2.0263316512107847,0.006343182,0.06588287353515625,7.9153764069080355,9999360,760,0.6,0.8422964066267014,-10.27240347787738,-0.0009732419599458808
48.7,3.430311679840088,0.00038072448,0.6148847937583923,0.2,-1.8637958869338036,0.00726546,0.07824630737304687,7.290015557408333,11999232,910,0.7,0.8568313121795654,-7.658044128865003,-0.000495395344478311
45.45,2.696687936782837,0.00036106368,0.5660951137542725,0.2,-1.6964438892900944,0.008505718,0.0820404052734375,6.104192316532135,13999104,1060,0.75,0.8647006750106812,-7.680704309046268,-0.0002901013842347311
45.65,2.1687426567077637,0.00034009215999999997,0.5261799097061157,0.2,-1.5440978430211545,0.01026421,0.10680313110351562,4.774825808405876,15998976,1220,0.75,0.8786699026823044,-5.269734738394618,9.951429638022091e-05
51.4,2.2452080249786377,0.00032043136,0.4935402274131775,0.2,-1.4102618034929038,0.010250938,0.10593795776367188,4.384345483034849,17998848,1370,0.8,0.8885888233780861,-7.599266687035561,0.00010380421572335763
51.1,298.0062255859375,0.00030077056000000005,0.5237200856208801,0.2,-1.512460957095027,0.054708224,0.11439361572265624,1705.5868667133152,19998720,1520,0.8,0.12377190589904785,-6.802668841183186,0.0006090899536502547
