train/n_updates,train/policy_gradient_loss,eval/mean_ep_length,train/approx_kl,train/learning_rate,train/loss,train/std,eval/mean_reward,train/clip_fraction,train/value_loss,eval/success_rate,train/explained_variance,train/entropy_loss,train/clip_range,time/total_timesteps
150,-0.001603556252666749,190.6,0.0051414035,0.00048033920000000005,0.000910341739654541,0.979534387588501,-42.609256089478734,0.04498977661132812,0.05819992615142837,0.05,0.9097645133733749,-2.7966447904706,0.2,1999872
300,-0.0014958284913518583,158.9,0.0069084186,0.0004606784,0.005269767716526985,0.8851954936981201,-34.179893935471775,0.05987472534179687,0.06772340406896546,0.25,0.9216846227645874,-2.597407777607441,0.2,3999744
450,-0.001768811467991327,104.6,0.0064032357,0.0004410176,0.019390471279621124,0.7861075401306152,-22.840037401393054,0.07451324462890625,0.0896446774713695,0.55,0.9274991452693939,-2.358721337467432,0.2,5999616
610,-0.0013948799136414892,124.75,0.0071648215,0.00042004608,0.022947389632463455,0.6677007079124451,-27.111541083455087,0.08640594482421875,0.08929845651146025,0.55,0.9259463846683502,-2.0341220520436765,0.2,7999488
760,-0.000786104595499637,63.75,0.007924233,0.00040038528000000003,0.012618407607078552,0.5909063816070557,-9.03660130277276,0.09520645141601562,0.059451248601544646,0.85,0.9375215917825699,-1.7906696405261755,0.2,9999360
910,-0.0004100559814105509,65.9,0.005795452,0.00038072448,5.334336310625076e-05,0.8240524530410767,-11.2114896081388,0.04786605834960937,0.07281183214508928,0.85,0.9904265822842717,-2.4219917707145213,0.2,11999232
1060,-0.0009470363635045942,62.15,0.006814014,0.00036106368,-0.02404537796974182,0.844197154045105,-8.95106612034142,0.07210540771484375,0.0008937764509937551,0.9,0.9998416770395124,-2.5007275149226187,0.2,13999104
1220,-0.0005718935793993296,53.55,0.006537944,0.00034009215999999997,-0.026239167898893356,0.8594826459884644,-8.748201556503773,0.06046218872070312,0.0002653725347045111,0.95,0.999864714089199,-2.533851370215416,0.2,15998976
1370,-0.0011241264703130583,61.85,0.007017274,0.00032043136,-0.02836735174059868,0.8519821763038635,-8.885787237808108,0.07160186767578125,0.0001790106952057613,0.95,0.9999209880988928,-2.5194940730929374,0.2,17998848
1520,-0.0011762026479118504,58.7,0.006489023,0.00030077056000000005,-0.02692899852991104,0.8222318887710571,-7.363311212137342,0.06997299194335938,0.00015360386962584016,0.9,0.9999523873375438,-2.4436012007296086,0.2,19998720
1670,-0.0007143563518184238,63.4,0.0067178225,0.00028110976,-0.026464728638529778,0.7894556522369385,-8.890018957480788,0.07531967163085937,0.00011511807203987701,0.85,0.9999692658711865,-2.3675515182316302,0.2,21998592
1830,-0.0013184536452172323,61.1,0.0073890956,0.00026013823999999994,-0.024154607206583023,0.713835597038269,-7.873292526602745,0.07574539184570313,8.877311704509338e-05,0.85,0.9999720751929999,-2.1662171371281147,0.2,23998464
1980,-0.0013402266082266578,67.6,0.00621022,0.00024047743999999999,-0.021176036447286606,0.6769630908966064,-11.01301226168871,0.06712112426757813,8.527288339337247e-05,0.95,0.9999725693651271,-2.0619130410254,0.2,25998336
2130,-0.0011500842279929201,66.9,0.005975038,0.00022081664000000003,-0.020863881334662437,0.6250748634338379,-8.923655979335308,0.06986160278320312,4.7607216163214614e-05,0.9,0.9999841102635401,-1.9028841484338046,0.2,27998208
