train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/value_loss,time/total_timesteps,eval/success_rate,eval/mean_reward,train/std,train/loss,train/approx_kl,eval/mean_ep_length,train/learning_rate
0.2,-0.0036056639115486177,0.0459228515625,150,-2.207634760439396,0.8315562307834625,4.462970750778913,1999872,0.2,-12.039756546169519,0.7265879511833191,2.095306873321533,0.0055609928,84.95,0.00028820352
0.2,-0.0019077814864431274,0.04777603149414063,300,-1.8511000618338584,0.8964810892939568,8.506003841757774,3999744,0.25,-11.682848443835974,0.6133404970169067,3.6203911304473877,0.0049250387,83.5,0.00027640703999999995
0.2,1.9406692445045336e-06,0.049135589599609376,450,-1.6436525437980891,0.8885871022939682,7.025227561593056,5999616,0.2,-12.682450671121478,0.5580105185508728,3.4274802207946777,0.005062329,85.3,0.00026461055999999996
0.2,-0.0005589971799054183,0.05330352783203125,610,-1.5173144605010749,0.8759610652923584,6.75096578001976,7999488,0.55,-4.52228339985013,0.5319188237190247,3.456166982650757,0.0053296634,62.95,0.00025202764799999995
0.2,0.00013072784586256602,0.05102081298828125,760,-1.3725094255059958,0.8884922713041306,6.050078245997429,9999360,0.55,-4.283512572944164,0.4971068799495697,2.847304105758667,0.005694272,62.3,0.000240231168
0.2,-0.00017248583062610124,0.0524505615234375,910,-1.2525682669132947,0.8780911639332771,6.026909853518009,11999232,0.75,-0.6144905220717192,0.47543615102767944,2.9293315410614014,0.0068563307,50.5,0.000228434688
0.2,-0.0003290913919045124,0.05028610229492188,1060,-1.1716080740094186,0.8781042173504829,5.691242681443692,13999104,0.45,-6.7851977128535506,0.4608571529388428,2.69960880279541,0.005065079,74.95,0.000216638208
0.2,9.957345901057124e-06,0.05671005249023438,1220,-1.0896479662507772,0.8907363638281822,4.993475696444511,15998976,0.4,-8.270621646568179,0.44552159309387207,2.2650609016418457,0.0054863733,74.1,0.00020405529599999998
0.2,-1.1321078818582465e-05,0.057369232177734375,1370,-1.0116203606128693,0.890988290309906,5.1462047547101974,17998848,0.55,-4.180310295522213,0.4320148229598999,2.5683579444885254,0.00487915,62.5,0.000192258816
0.2,0.0002676079186130664,0.06539459228515625,1520,-0.9437478559091688,0.8942115530371666,4.786130391061306,19998720,0.6,-3.652249911800027,0.42054715752601624,2.414958953857422,0.00568521,64.1,0.000180462336
0.2,3.433659076108597e-05,0.0655029296875,1670,-0.8782608089968562,0.8896611109375954,5.008521378040314,21998592,0.5,-7.223512970656157,0.4117659628391266,2.5616445541381836,0.00541633,67.65,0.00016866585599999997
0.2,0.00042688671965152025,0.06007537841796875,1830,-0.8638345163315535,0.8818791806697845,5.251151676476002,23998464,0.4,-7.474369716271758,0.4149284362792969,2.627483606338501,0.006486552,72.5,0.00015608294399999996
0.2,-0.0005190030073208618,0.0483123779296875,1980,-0.777237281948328,0.8996361270546913,4.628277529031038,25998336,0.6,-4.547000632807612,0.3953986167907715,1.8841215372085571,0.0057728835,63.25,0.00014428646399999997
0.2,8.49065156216966e-05,0.055927276611328125,2130,-0.7551976567134261,0.8972311541438103,4.607837901264429,27998208,0.5,-6.598068328201771,0.39199644327163696,2.0761449337005615,0.004919694,70.25,0.00013248998399999998
0.2,-0.00031644306218368,0.0493865966796875,2280,-0.7401810269802809,0.8889486938714981,4.882568494975567,29998080,0.6,-6.0261542905122045,0.3909987807273865,2.52998423576355,0.0043291883,73.85,0.00012069350399999997
0.2,-0.00028675654448306886,0.04511566162109375,2440,-0.7424744244664907,0.8857246190309525,5.07335494607687,31997952,0.35,-9.141792592778803,0.39177021384239197,2.5580544471740723,0.0048033874,77.6,0.000108110592
0.2,-0.0004183582073892467,0.0391571044921875,2590,-0.7411905890330672,0.896929644048214,4.675535652786493,33997824,0.35,-9.14323213249445,0.39235371351242065,2.4417786598205566,0.0051749987,76.75,9.631411199999997e-05
0.2,-0.00047909818204061594,0.03900909423828125,2740,-0.741489133052528,0.8970042169094086,4.484027171134949,35997696,0.65,-2.806848668307066,0.3949621319770813,2.34212327003479,0.0040389467,57.5,8.451763199999999e-05
0.2,-0.000463254203350516,0.03399505615234375,2890,-0.7333529526367784,0.9022768437862396,4.299534206092358,37997568,0.55,-6.457277596741915,0.3940868675708771,2.0048980712890625,0.0042715063,66.55,7.2721152e-05
0.2,-0.0007703390940150712,0.03125762939453125,3050,-0.7175308596342802,0.8966338932514191,4.703950076550245,39997440,0.5,-7.202777441218496,0.3954308032989502,2.0258257389068604,0.0039675655,74.65,6.0138239999999996e-05
0.2,-0.0007580603683891241,0.026373291015625,3200,-0.6988959180191159,0.8969894275069237,4.519975888729095,41997312,0.45,-5.6620643936097625,0.392999529838562,2.169203281402588,0.0033641183,71.3,4.834176000000001e-05
0.2,-0.0009360786149045453,0.0224853515625,3350,-0.7038377648219466,0.8991687148809433,4.498640786111355,43997184,0.55,-5.816875177249313,0.39470475912094116,2.342797040939331,0.0030700127,68.8,3.654527999999999e-05
0.2,-0.0009173866063065361,0.0138702392578125,3500,-0.7046084087342024,0.8947443068027496,4.7170425146818165,45997056,0.6,-4.944879765808582,0.39690661430358887,2.280668258666992,0.0024672528,64.8,2.4748800000000003e-05
0.2,-0.00010191447436227463,0.00010986328125,3660,-0.7058392686769366,0.059518516063690186,1830.7311512678862,47996928,0.3,-11.017965113371611,0.39733514189720154,1121.3372802734375,0.00027846894,85.25,1.216588799999999e-05
0.2,-6.831734281149693e-05,0.0,3810,-0.7274905467405915,0.0706375241279602,1743.5033714547753,49996800,0.35,-9.997121042013168,0.40163010358810425,607.1954956054688,1.1822405e-05,75.75,3.6940800000000436e-07
