train/clip_range,eval/mean_ep_length,train/clip_fraction,train/loss,train/value_loss,train/n_updates,eval/success_rate,train/entropy_loss,train/learning_rate,time/total_timesteps,train/approx_kl,eval/mean_reward,train/explained_variance,train/std,train/policy_gradient_loss
0.2,100.0,0.031191253662109376,1.7638094425201416,3.511609235405922,150,0.0,-2.250804527103901,0.00028820352,1999872,0.004132089,-24.31091846860945,0.8790462017059326,0.7409204244613647,-0.002248961689110729
0.2,95.75,0.04514617919921875,2.0207321643829346,4.486093734204769,300,0.05,-1.8315731626003982,0.00027640703999999995,3999744,0.005144065,-21.409062949940562,0.9431273825466633,0.603947639465332,-0.0021880614203837467
0.2,92.9,0.044384002685546875,3.7440431118011475,6.562690886855125,450,0.1,-1.5828525833785534,0.00026461055999999996,5999616,0.0053816102,-20.61945843808353,0.9329720139503479,0.5338461399078369,-0.0008761194490944036
0.2,88.65,0.0457366943359375,3.8385727405548096,7.605068665742874,610,0.15,-1.4874011553823947,0.00025202764799999995,7999488,0.004149379,-19.72366743683815,0.9293240159749985,0.510723352432251,-0.000544464314225479
0.2,88.65,0.0479888916015625,4.06884765625,7.76597164273262,760,0.15,-1.396143786981702,0.000240231168,9999360,0.00390469,-21.311863995343447,0.9194035232067108,0.4871487021446228,-0.0007696752298215869
0.2,94.3,0.04965286254882813,3.9615910053253174,8.69762934744358,910,0.1,-1.3017992988228797,0.000228434688,11999232,0.0045618024,-21.084414655342698,0.9110378324985504,0.4655330777168274,-0.00038544616145372854
0.2,87.2,0.050048828125,4.367932319641113,9.509371757507324,1060,0.3,-1.2238830000162124,0.000216638208,13999104,0.0044126133,-18.542020996287466,0.9042806923389435,0.44752657413482666,-0.0009072523524082498
0.2,77.25,0.0586761474609375,3.8191189765930176,8.27417581230402,1220,0.35,-1.176486474648118,0.00020405529599999998,15998976,0.006690841,-12.422380565479397,0.9103804379701614,0.4378271698951721,-0.0008247217021562392
0.2,83.35,0.04608612060546875,4.0977044105529785,8.56689278036356,1370,0.3,-1.1579371560364962,0.000192258816,17998848,0.0042068227,-16.227805783972144,0.9100656136870384,0.4337689280509949,-0.0006643394433922367
0.2,83.4,0.04538040161132813,4.44022274017334,9.532568290829659,1520,0.35,-1.1442002143710852,0.000180462336,19998720,0.005226421,-14.486462365463376,0.9013000652194023,0.43060243129730225,-0.0010065837912407005
0.2,91.85,0.04655609130859375,4.493406295776367,9.978570112586022,1670,0.2,-1.1602805249392987,0.00016866585599999997,21998592,0.00522429,-18.833815437182786,0.8936279267072678,0.4347030520439148,-0.00046024945622775705
0.2,91.75,0.04442901611328125,4.767891883850098,9.624711826443672,1830,0.2,-1.1668280214071274,0.00015608294399999996,23998464,0.005321483,-17.55590790398419,0.9030642136931419,0.43629950284957886,-0.0007317742034501862
