eval/success_rate,train/approx_kl,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,train/n_updates,train/explained_variance,eval/mean_reward,train/loss,time/total_timesteps,train/value_loss,time/fps,time/iterations,time/time_elapsed
0.05,0.006102405,-2.740765964984894,0.9502483606338501,0.0002852544,0.0400146484375,0.2,-0.002414967296863324,95.9,150,0.8084599822759628,-17.447369208559394,0.5811426639556885,500032,1.5690437962301076,,,
0.25,0.006292815,-2.5621556505560874,0.8694041967391968,0.0002705088,0.066204833984375,0.2,-0.0010975272478390252,83.2,300,0.8689201176166534,-12.771464816108345,1.5288664102554321,1000064,2.980563385412097,,,
0.1,0.005935214,-2.47863663174212,0.8375757336616516,0.00025576319999999996,0.0590423583984375,0.2,9.54533814365277e-05,98.2,450,0.8811608478426933,-14.380614706128835,1.7245982885360718,1500096,2.8546919522807004,,,
0.25,0.006111182,-2.434561913460493,0.8167165517807007,0.00024003455999999998,0.0686004638671875,0.2,-5.368949641706422e-05,90.7,610,0.8821572214365005,-13.957600185275078,1.2681453227996826,2000128,2.6534294107928873,,,
,0.0058024423,-2.410777488350868,0.8055274486541748,0.00023806847999999998,0.0729644775390625,0.2,-6.671066257695202e-05,,630,0.8898188471794128,,1.3897197246551514,2097152,2.6259088180959225,1214,64,1726
0.3,0.0053985147,-2.3588778700679542,0.7870429754257202,0.00022528895999999996,0.066522216796875,0.2,-0.00040443984398734755,82.35,760,0.8974073305726051,-14.021533322148025,0.9419699311256409,2500160,2.3318473467603327,,,
0.3,0.008026995,-2.3343616504222156,0.7767822742462158,0.00021054336000000002,0.0739013671875,0.2,-0.0003055357028642902,85.15,910,0.882839560508728,-13.668193700164556,1.4628359079360962,3000192,2.592463015392423,,,
0.25,0.007446201,-2.2871356841176746,0.7601090669631958,0.00019579776,0.0684814453125,0.2,-0.000668963528733002,88.4,1060,0.8765173330903053,-14.643201146647334,1.0181221961975098,3500224,2.5240015141665935,,,
0.35,0.006464349,-2.2349932197481395,0.7425374984741211,0.00018006912,0.0692230224609375,0.2,-0.0008180892898963065,83.55,1220,0.8715195953845978,-11.462837006151677,1.153420090675354,4000256,2.5569709612056615,,,
,0.006667561,-2.2116492822766305,0.7333991527557373,0.00017515391999999998,0.066729736328125,0.2,-0.0009245034980267519,,1270,0.8754130303859711,,1.0937126874923706,4194304,2.477962073124945,1120,128,3744
0.4,0.0059223687,-2.2442461747676132,0.7488489151000977,0.00016532351999999997,0.0824432373046875,0.2,-0.0007373952703346731,77.4,1370,0.8814094737172127,-12.743355002067982,1.193690299987793,4500288,2.5165356723591685,,,
0.4,0.0067692236,-2.25063808336854,0.751903772354126,0.00015057791999999997,0.06541748046875,0.2,-0.0008774623478529975,78.25,1520,0.8768101409077644,-12.243950781598688,0.9970791935920715,5000320,2.4215742509812115,,,
0.3,0.005790274,-2.1660546470433473,0.7204787731170654,0.00013583232,0.06148681640625,0.2,-0.0010090975831190008,77.75,1670,0.8664402812719345,-11.83927441984415,0.9649747014045715,5500352,2.4503615582361817,,,
0.5,0.0057716644,-2.1425988249480725,0.7140685319900513,0.00012010367999999998,0.055267333984375,0.2,-0.0014980334006395423,69.05,1830,0.8824371844530106,-10.097041326016187,1.2034794092178345,6000384,2.374413982219994,,,
,0.0070440774,-2.1169426470994948,0.7041595578193665,0.00011223935999999999,0.0635589599609375,0.2,-0.0013881087837944507,,1910,0.898885078728199,,0.9226795434951782,6291456,1.9895298089832067,1082,192,5810
0.25,0.005238791,-2.1306846261024477,0.7107819318771362,0.00010535808,0.0535003662109375,0.2,-0.0015264465087966527,86.05,1980,0.8770102560520172,-13.70249562319368,0.8309792280197144,6500416,2.5082613926380875,,,
0.4,0.004797164,-2.0999289881438017,0.7015515565872192,9.061248e-05,0.043023681640625,0.2,-0.0013473754101141822,78.55,2130,0.8821812644600868,-10.704825026541949,0.8944699764251709,7000448,2.4752760151401163,,,
0.5,0.0058564283,-2.1195862397551535,0.7120007276535034,7.586688e-05,0.0467193603515625,0.2,-0.0016150078370628762,70.4,2280,0.8757975846529007,-10.342700831592083,0.9796162843704224,7500480,2.5393115704879166,,,
0.3,0.005377854,-2.08715265840292,0.6996481418609619,6.0138239999999996e-05,0.03980712890625,0.2,-0.0012245899168192409,83.1,2440,0.8860093429684639,-12.498424909077585,1.3052940368652344,8000512,2.5034858578816057,,,
,0.0043078708,-2.082842542603612,0.7015174627304077,4.93248e-05,0.0347381591796875,0.2,-0.0015631292018952081,,2550,0.8735396713018417,,1.1159405708312988,8388608,2.6272495871409776,1049,256,7989
0.55,0.0039184783,-2.0870898377150295,0.7026273012161255,4.539264e-05,0.0331939697265625,0.2,-0.001607734739081934,72.25,2590,0.8870238065719604,-11.217373892851175,0.6391236186027527,8500544,2.2964613998308776,,,
0.45,0.003931174,-2.0964675709605216,0.7063413858413696,3.064704000000001e-05,0.02418212890625,0.2,-0.001524221720683272,72.55,2740,0.891982302069664,-11.195224680937827,1.0634880065917969,9000576,2.3205745013430716,,,
0.3,0.00378137,-2.1011735539883376,0.710675060749054,1.590143999999999e-05,0.02083740234375,0.2,-0.001816554903416545,80.1,2890,0.8923781514167786,-10.948503430373966,0.9320523738861084,9500608,2.139181600883603,,,
0.35,4.064799e-06,-2.108700742200017,0.7134842872619629,1.7280000000000626e-07,0.0,0.2,-1.976536586880684e-05,77.0,3050,0.9014986976981163,-13.159406294673682,1.2596335411071777,10000640,2.2544230461120605,,,
